-- sp_help Recordset 1

Name	Owner	Type	Created_datetime	
SAZMAN	dbo	user table	28/02/2026 08:21:20 ق.ظ


-- sp_help Recordset 2

Column_name	Type	Computed	Length	Prec	Scale	Nullable	TrimTrailingBlanks	FixedLenNullInSource	Collation	
SA_40EZ	bit	no	1	     	     	no	(n/a)	(n/a)	
SA_EZAF	bit	no	1	     	     	no	(n/a)	(n/a)	
SA_PADA	bit	no	1	     	     	no	(n/a)	(n/a)	
SA_HOLA	bit	no	1	     	     	no	(n/a)	(n/a)	
SA_KHAR	bit	no	1	     	     	no	(n/a)	(n/a)	
SA_NAHA	bit	no	1	     	     	no	(n/a)	(n/a)	
SA_JAZB	bit	no	1	     	     	no	(n/a)	(n/a)	
SA_RAND	bit	no	1	     	     	no	(n/a)	(n/a)	
SA_COND	bit	no	1	     	     	no	(n/a)	(n/a)	
SA_SAYE	bit	no	1	     	     	no	(n/a)	(n/a)	
SA_23BI	bit	no	1	     	     	no	(n/a)	(n/a)	
HAZTOLID	nvarchar	no	40	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
HAZFROOSH	nvarchar	no	40	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
HAZKHADAMAT	nvarchar	no	40	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
PISHDAR	float	no	8	53   		yes	(n/a)	(n/a)	
DEFANB	smallint	no	2	5    	0    	yes	(n/a)	(n/a)	
DEFTKH	smallint	no	2	5    	0    	yes	(n/a)	(n/a)	
ECONM	bit	no	1	     	     	yes	(n/a)	(n/a)	
FRUP	bit	no	1	     	     	yes	(n/a)	(n/a)	
UPDDATE	bit	no	1	     	     	yes	(n/a)	(n/a)	
FINALS	bit	no	1	     	     	yes	(n/a)	(n/a)	
PSANDHES	nvarchar	no	40	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SANAVP	int	no	4	10   	0    	yes	(n/a)	(n/a)	
BON	int	no	4	10   	0    	yes	(n/a)	(n/a)	
ISO_FROOSH	nvarchar	no	40	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
ISO_KHAREED	nvarchar	no	40	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
ISO_MAVAD	nvarchar	no	40	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
ISO_TOLID	nvarchar	no	40	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
ISO_MAVADSAYER	nvarchar	no	40	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SANAT	bit	no	1	     	     	yes	(n/a)	(n/a)	
CODEVIEW	smallint	no	2	5    	0    	yes	(n/a)	(n/a)	
PKHARID	int	no	4	10   	0    	yes	(n/a)	(n/a)	
SIGN	bit	no	1	     	     	yes	(n/a)	(n/a)	
BARCOD	bit	no	1	     	     	yes	(n/a)	(n/a)	
SAGHF	bit	no	1	     	     	yes	(n/a)	(n/a)	
SERVERNAM	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
TENDAR	bit	no	1	     	     	yes	(n/a)	(n/a)	
LECOL1	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
LECOL2	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
LECOL3	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
LECOL4	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
LKCOL1	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
HESMBAA	nvarchar	no	40	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
ECODE	nvarchar	no	40	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
PCODE	nvarchar	no	20	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IYALAT	nvarchar	no	40	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
MCODEM	nvarchar	no	40	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
HPOR	nvarchar	no	40	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SAGHF2	bit	no	1	     	     	yes	(n/a)	(n/a)	
OPTIONSS	nvarchar	no	200	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
CTL_DT	bit	no	1	     	     	yes	(n/a)	(n/a)	
LOCKFAP	bit	no	1	     	     	yes	(n/a)	(n/a)	
LOCKFSI	bit	no	1	     	     	yes	(n/a)	(n/a)	
TRANSF	bit	no	1	     	     	yes	(n/a)	(n/a)	
OKF	bit	no	1	     	     	yes	(n/a)	(n/a)	
ARSESH	tinyint	no	1	3    	0    	yes	(n/a)	(n/a)	
RMOG	bit	no	1	     	     	yes	(n/a)	(n/a)	
APV	nvarchar	no	40	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
HOTCOD	nvarchar	no	16	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
STFR	int	no	4	10   	0    	yes	(n/a)	(n/a)	
STKH	int	no	4	10   	0    	yes	(n/a)	(n/a)	
STHFR	int	no	4	10   	0    	yes	(n/a)	(n/a)	
STHKH	int	no	4	10   	0    	yes	(n/a)	(n/a)	
STENT	int	no	4	10   	0    	yes	(n/a)	(n/a)	
STKHS	int	no	4	10   	0    	yes	(n/a)	(n/a)	
STKHH	int	no	4	10   	0    	yes	(n/a)	(n/a)	
STTOL	int	no	4	10   	0    	yes	(n/a)	(n/a)	
STFRB	int	no	4	10   	0    	yes	(n/a)	(n/a)	
STBKH	int	no	4	10   	0    	yes	(n/a)	(n/a)	
STMO	int	no	4	10   	0    	yes	(n/a)	(n/a)	
STKHA	int	no	4	10   	0    	yes	(n/a)	(n/a)	
SNDKH	bit	no	1	     	     	yes	(n/a)	(n/a)	
SMS_USERNAME	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SMS_PASSWORD	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SMS_LIBKEY	nvarchar	no	300	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SMS_TSMSHOST	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SMS_ProxyUserName	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SMS_ProxyPassword	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SMS_ProxyServer	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SMS_ProxyPort	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SMS_FirewallUserName	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SMS_FirewallPassword	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SMS_FirewallHost	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SMS_FirewallPort	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SMS_FirewallType	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
DSMS	bit	no	1	     	     	yes	(n/a)	(n/a)	
SMS_OWNER	nvarchar	no	400	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
PRMFR	bit	no	1	     	     	yes	(n/a)	(n/a)	
SMSACT	bit	no	1	     	     	yes	(n/a)	(n/a)	
HESDESK	nvarchar	no	40	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
ISO_DTOLID	nvarchar	no	40	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SERFACB	bit	no	1	     	     	yes	(n/a)	(n/a)	
HBON	bit	no	1	     	     	yes	(n/a)	(n/a)	
pishpross	int	no	4	10   	0    	yes	(n/a)	(n/a)	
version	nvarchar	no	200	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
hesnaghd	nvarchar	no	80	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IT1	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IT2	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IT3	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IT4	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IT5	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IT6	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IT7	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IT8	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IT9	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IS1	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IS2	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IS3	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IS4	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IS5	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IS6	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IS7	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IS8	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IS9	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IS10	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IS11	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IS12	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IS13	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IS14	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IS15	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
IS16	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SSMTRTAKM	int	no	4	10   	0    	yes	(n/a)	(n/a)	
SSMTRTAGM	int	no	4	10   	0    	yes	(n/a)	(n/a)	
SSMSNDAUTO	int	no	4	10   	0    	yes	(n/a)	(n/a)	
