-- sp_help Recordset 1

Name	Owner	Type	Created_datetime	
SIGN	dbo	user table	28/02/2026 08:21:21 ق.ظ


-- sp_help Recordset 2

Column_name	Type	Computed	Length	Prec	Scale	Nullable	TrimTrailingBlanks	FixedLenNullInSource	Collation	
ANB_TOLID_ANBTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
ANB_KHOROG_ANBTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
ANB_KHOROG_MODIRTTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
ANB_KHOROGS_ANBTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
ANB_KHOROGS_MODIRTTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SND_TAHITX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SND_MALITX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SND_MODIRTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
FFRB_FROOSHTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
FFRB_ANBTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
FFRB_HESABTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
FFRB_MODIRTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
KFRB_BAZARTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
KFRB_ANBTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
KFRB_HESABTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
KFRB_MODIRTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
FFRP_FROOSHTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
FFRP_ANBTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
FFRP_HESABTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
FFRP_MODIRTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
RASM_HESABTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
RASM_MODIRTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
PAY_MVAHEDTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
PAY_HESABTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
PAY_MAMELTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
ENTGH_AZANBTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
ENTGH_BEANBTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
ENTGH_MODIRTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
PAZ_PAZTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
PAZ_HESTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
PAZ_CEOTX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0124TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0224TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0324TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0126TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0226TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0326TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0133TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
SGN0233TX	nvarchar	no	100	     	     	yes	(n/a)	(n/a)	Arabic_CI_AS
